"idx","sex","status","grade"
"17131","여","유료회원","초5학년"
"90451","남","유료회원","0학년"
"38833","여","유료회원","초5학년"
"3990","남","유료회원","초4학년"
"30358","남","유료회원","초3학년"
"46227","정보없음","유료회원","초4학년"
"2279","남","유료회원","초5학년"
"34971","여","유료회원","초4학년"
"34818","여","유료회원","초5학년"
"19634","남","유료회원","초3학년"
"67430","정보없음","유료회원","초3학년"
"11244","여","유료회원","초4학년"
"20613","여","유료회원","초4학년"
"49271","여","유료회원","초2학년"
"18360","남","유료회원","초4학년"
"5368","여","유료회원","초6학년"
"54223","남","유료회원","초2학년"
"57091","남","유료회원","초2학년"
"1131","남","유료회원","초6학년"
"18407","여","유료회원","초3학년"
"86931","남","유료회원","초2학년"
"9999","남","유료회원","초3학년"
"36281","남","유료회원","초5학년"
"14252","남","유료회원","초1학년"
"7375","남","유료회원","초6학년"
"26328","여","유료회원","초3학년"
"69821","남","유료회원","초4학년"
"85116","여","유료회원","초4학년"
"70505","남","유료회원","초1학년"
"39905","남","유료회원","초1학년"
"66757","여","유료회원","초5학년"
"38550","남","유료회원","초3학년"
"1512","여","유료회원","초4학년"
"83706","남","유료회원","초1학년"
"92732","여","유료회원","초2학년"
"57413","남","유료회원","초2학년"
"91242","여","유료회원","초1학년"
"27764","여","유료회원","초1학년"
"1447","여","유료회원","초4학년"
"66990","여","유료회원","초1학년"
"34803","여","유료회원","초3학년"
"97083","남","유료회원","0학년"
"16226","남","유료회원","초5학년"
"48491","여","유료회원","초2학년"
"26812","여","유료회원","초2학년"
"68816","남","유료회원","초4학년"
"52712","남","유료회원","초2학년"
"52290","남","유료회원","초3학년"
"22111","여","유료회원","초4학년"
"68776","여","유료회원","초4학년"
"18929","남","유료회원","초2학년"
"62161","남","유료회원","초3학년"
"47773","여","유료회원","초2학년"
"20532","여","유료회원","초4학년"
"38539","남","유료회원","초4학년"
"36134","여","유료회원","초3학년"
"29692","여","유료회원","초4학년"
"1781","남","유료회원","초2학년"
"41575","남","유료회원","초4학년"
"9825","남","유료회원","초4학년"
"22061","정보없음","유료회원","초3학년"
"47692","정보없음","유료회원","초5학년"
"11131","남","유료회원","초4학년"
"11692","남","유료회원","초4학년"
"10801","남","유료회원","초4학년"
"7551","남","유료회원","초1학년"
"85000","남","유료회원","초3학년"
"3684","여","유료회원","초6학년"
"40576","정보없음","유료회원","초2학년"
"61549","남","유료회원","초2학년"
"46807","여","유료회원","초4학년"
"56666","여","유료회원","초3학년"
"3459","남","유료회원","초3학년"
"50321","남","유료회원","초4학년"
"48891","여","유료회원","초2학년"
"38896","남","유료회원","초5학년"
"44730","남","유료회원","초2학년"
"55153","남","유료회원","초6학년"
"21370","여","유료회원","초1학년"
"756","남","유료회원","초6학년"
"18652","여","유료회원","초4학년"
"53223","남","유료회원","초6학년"
"67664","남","유료회원","초2학년"
"30601","여","유료회원","초1학년"
"13052","정보없음","유료회원","초5학년"
"44224","남","유료회원","초2학년"
"18316","남","유료회원","초2학년"
"10335","여","유료회원","초5학년"
"36486","남","유료회원","초2학년"
"72907","남","유료회원","초2학년"
"6947","여","유료회원","초3학년"
"72573","정보없음","유료회원","초1학년"
"42533","남","유료회원","초2학년"
"78063","여","유료회원","초5학년"
"61624","여","유료회원","초3학년"
"12928","여","유료회원","초5학년"
"9289","남","유료회원","초4학년"
"47474","남","유료회원","초3학년"
"54039","남","유료회원","초4학년"
"24384","남","유료회원","초3학년"
"38075","남","유료회원","초2학년"
"85382","여","유료회원","초2학년"
"56482","여","유료회원","0학년"
"19233","여","유료회원","초2학년"
"59095","남","유료회원","초4학년"
"2133","남","유료회원","초4학년"
"41431","여","유료회원","초1학년"
"6189","정보없음","유료회원","초3학년"
"72673","남","유료회원","초3학년"
"13106","남","유료회원","초4학년"
"90769","남","유료회원","초2학년"
"30609","여","유료회원","초5학년"
"24533","여","유료회원","초5학년"
